logFC	p-value	q-value	SYMBOL
0.96	0.002	0.041	PGLYRP1
-0.82	0.002	0.041	BACH2
-0.65	0.002	0.041	IER5L
0.38	0.002	0.042	C27H8orf4
-0.53	0.002	0.042	GALC
-0.47	0.002	0.042	CCDC107
-0.38	0.002	0.042	PPP2R3C
-0.36	0.002	0.042	VSIG10
-0.36	0.002	0.042	WSB2
-0.38	0.002	0.042	PRKCSH
0.55	0.002	0.042	PCDH18
-0.58	0.002	0.042	LOC104968595
0.97	0.002	0.042	CKAP2L
-0.44	0.0021	0.042	CIB1
2.17	0.0021	0.042	PLA2G3
-0.3	0.0021	0.043	CC2D1B
-1.08	0.0021	0.043	DUSP8
1.32	0.0021	0.043	ADIPOQ
-0.25	0.0021	0.043	YY2
-0.69	0.0021	0.043	S100A11
1.22	0.0021	0.044	SPC24
0.91	0.0022	0.044	TMEM108
-0.38	0.0022	0.044	RNF19B
-0.28	0.0022	0.044	PRR5
0.28	0.0022	0.044	PIK3R2
0.28	0.0022	0.044	MAST3
1.11	0.0022	0.044	BIRC5
-0.2	0.0022	0.044	TRAFD1
0.38	0.0022	0.045	PCED1B
-0.49	0.0022	0.045	CAPN2
-0.59	0.0022	0.045	DAPK3
-0.52	0.0022	0.045	PINK1
-0.28	0.0023	0.045	PCMTD1
0.47	0.0023	0.045	ZSCAN2
-0.37	0.0023	0.045	CYB5R1
-0.49	0.0023	0.045	CD63
-0.21	0.0023	0.045	DENND5A
1.01	0.0023	0.045	MKI67
-0.42	0.0023	0.045	OSBPL5
0.87	0.0023	0.045	RAB36
-0.49	0.0023	0.046	ST5
-0.53	0.0023	0.046	MYLK
1.24	0.0023	0.046	NGFR
1.03	0.0023	0.046	BUB1
1.15	0.0024	0.047	LOC100299180
0.91	0.0024	0.047	PRR11
-0.45	0.0024	0.047	TPRG1L
-0.62	0.0024	0.047	GAN
-0.3	0.0024	0.047	LOC100850735
-0.84	0.0024	0.047	ADAM9
0.71	0.0024	0.047	CCDC80
0.29	0.0024	0.047	PAPSS1
-0.39	0.0024	0.047	CLIC4
0.36	0.0024	0.047	TYW1
1.22	0.0024	0.047	NEIL3
-0.72	0.0024	0.047	TNFAIP8L3
1.11	0.0024	0.047	KNTC1
-0.54	0.0024	0.047	ZYX
-0.28	0.0024	0.047	ALKBH3
-1.09	0.0025	0.047	KRT7
-1.09	0.0025	0.047	LOC787600
-0.21	0.0025	0.048	MKRN1
-0.38	0.0025	0.048	RNF19A
-0.39	0.0025	0.048	AKTIP
-0.56	0.0025	0.048	ARID5A
-0.2	0.0025	0.048	BTBD9
-0.54	0.0025	0.048	DNASE1L1
-0.54	0.0025	0.048	FAM83H
-0.43	0.0025	0.048	RASL12
0.46	0.0025	0.048	RNFT2
0.52	0.0025	0.048	DLG4
-0.3	0.0025	0.048	SLMAP
1.12	0.0025	0.048	COL9A3
0.41	0.0025	0.048	RCC1
-0.38	0.0025	0.048	PLGRKT
-0.54	0.0026	0.049	ZFP36L2
-0.54	0.0026	0.049	THADA
-0.28	0.0026	0.049	MLXIP
-0.33	0.0026	0.049	POLR1D
0.3	0.0026	0.049	NDUFS1
-1.43	0.0026	0.049	FOXP2
-2.32	0.0026	0.049	IGFBPL1
0.98	0.0026	0.049	ECT2
0.49	0.0026	0.049	CAMK2N1
0.21	0.0026	0.049	TTC30A
-0.19	0.0026	0.049	TAF4
1.21	0.0026	0.049	DLGAP5
-0.57	0.0026	0.049	ASB2
1.14	0.0026	0.049	DTL
1.21	0.0026	0.049	SERPINA1
-0.2	0.0026	0.049	ESYT2
0.76	0.0026	0.049	NREP
1.12	0.0027	0.049	KIAA0101
-0.45	0.0027	0.049	LITAF
1.31	0.0027	0.05	MT1E
1.15	0.0027	0.05	NDC80
-0.33	0.0027	0.05	PAIP2
0.23	0.0027	0.05	RARS2
-0.47	0.0027	0.05	ARL6IP5
-0.32	0.0027	0.05	NPEPPS
-0.39	0.0027	0.05	DHPS
0.38	0.0027	0.05	ARHGEF39
-0.18	0.0027	0.05	FNTA
1.02	0.0027	0.05	ESCO2
0.6	0.0027	0.05	PCCB
-0.7	0.0027	0.05	NINJ2
-0.76	0.0027	0.05	WNT5B
0.23	0.0027	0.05	DHX33
-0.67	0.0027	0.05	EPB41L4B
1.41	0.0028	0.05	PRND
-0.26	0.0028	0.05	BRE
-1.41	0.0028	0.051	PTGES
0.35	0.0028	0.051	ACAD9
0.26	0.0028	0.051	THOP1
0.5	0.0028	0.051	LINGO1
0.43	0.0028	0.051	DAPK1
1.1	0.0028	0.051	CDC6
-0.21	0.0029	0.051	NOSIP
-0.46	0.0029	0.051	LBH
1.05	0.0029	0.051	MTFR2
-0.74	0.0029	0.051	PIK3IP1
0.96	0.0029	0.051	AURKB
-0.6	0.0029	0.051	GLMP
0.41	0.0029	0.051	GAS8
-0.23	0.0029	0.051	PACS2
-0.3	0.0029	0.051	LOC104970173
-0.17	0.0029	0.051	HEATR6
-0.36	0.0029	0.051	PAFAH1B3
0.69	0.0029	0.051	CPPED1
-0.28	0.0029	0.051	USP31
0.88	0.0029	0.051	ENPEP
0.96	0.0029	0.051	CTH
-0.41	0.0029	0.051	NTAN1
-0.33	0.0029	0.051	AP4S1
-0.74	0.0029	0.051	VMP1
0.7	0.0029	0.051	LMNB1
0.53	0.0029	0.052	AADAT
-0.43	0.0029	0.052	TPRN
-0.41	0.0029	0.052	CREB3
0.44	0.003	0.052	ISYNA1
1.05	0.003	0.052	XKR5
-0.67	0.003	0.052	PPP1R15A
1.1	0.003	0.052	FAM132A
0.2	0.003	0.052	EWSR1
0.41	0.003	0.052	TSPAN5
-0.46	0.003	0.052	DNAJC17
-0.39	0.003	0.052	LAMA3
0.81	0.003	0.052	MAD2L1
0.18	0.003	0.052	STK35
-0.35	0.003	0.052	MFSD11
0.8	0.003	0.052	KLHDC8B
-0.64	0.003	0.052	PABPC1
-0.25	0.003	0.052	ANXA11
0.5	0.003	0.052	C6H4orf32
-0.98	0.003	0.052	TEX15
-0.35	0.003	0.052	CHMP1A
-0.42	0.0031	0.052	IFNAR1
-0.58	0.0031	0.052	ELF3
-0.58	0.0031	0.052	RNPEP
0.33	0.0031	0.052	C1QBP
-0.45	0.0031	0.052	CREBRF
-0.82	0.0031	0.052	KLHL32
-0.23	0.0031	0.053	AFF1
-0.14	0.0031	0.053	DEDD
0.71	0.0031	0.053	BRCA1
1.69	0.0031	0.053	ERN2
0.64	0.0031	0.053	KCP
0.44	0.0031	0.053	CDH24
-0.85	0.0031	0.053	CYBRD1
-0.46	0.0031	0.053	PAGR1
-0.46	0.0031	0.053	MVP
-0.76	0.0031	0.053	IER3
0.3	0.0032	0.053	NOL9
0.39	0.0032	0.054	ABHD6
-1.34	0.0032	0.054	TNFSF18
-0.47	0.0032	0.054	MCL1
0.44	0.0032	0.054	HLCS
-0.23	0.0032	0.054	ADD1
-1.54	0.0032	0.054	COMP
-0.67	0.0032	0.054	RTN4R
-0.32	0.0032	0.054	LOC786914
0.38	0.0033	0.054	CCDC115
0.18	0.0033	0.054	LARS2
-0.47	0.0033	0.054	MAPK11
-0.61	0.0033	0.054	TUBB2A
0.57	0.0033	0.054	SLC16A14
-0.2	0.0033	0.055	DYNC1I2
0.82	0.0033	0.055	KERA
-0.3	0.0033	0.055	FAM222B
0.33	0.0033	0.055	GRHPR
0.46	0.0033	0.055	FGD1
-0.67	0.0033	0.055	CYSTM1
-0.4	0.0033	0.055	DDIT3
-0.33	0.0033	0.055	IGBP1
0.32	0.0033	0.055	XPOT
0.52	0.0033	0.055	FAM186B
0.28	0.0033	0.055	CREB3L2
-0.22	0.0033	0.055	ERLIN2
-0.31	0.0033	0.055	MORN4
-0.49	0.0034	0.055	MGAT5
-0.18	0.0034	0.055	ATP9B
1.47	0.0034	0.055	FCRL3
-0.21	0.0034	0.055	VPS39
0.72	0.0034	0.055	HEPACAM
-0.66	0.0034	0.055	CCL16
-0.56	0.0034	0.055	KIAA0513
-0.22	0.0034	0.055	MAP1LC3B
-0.33	0.0034	0.055	PXN
0.78	0.0034	0.055	RACGAP1
-0.32	0.0034	0.055	RAB8A
-0.23	0.0035	0.055	SIAH1
-0.33	0.0035	0.056	FADD
-0.8	0.0035	0.056	CLDN7
-0.29	0.0035	0.056	TMEM11
-0.29	0.0035	0.056	NATD1
-0.31	0.0035	0.056	SPTAN1
-0.35	0.0035	0.056	DAGLB
-0.33	0.0035	0.056	DIXDC1
-0.33	0.0035	0.056	C15H11orf52
-0.31	0.0035	0.056	ATP6V0E1
0.26	0.0035	0.056	MRPL32
-0.38	0.0035	0.056	MKNK2
-0.7	0.0036	0.057	DDR1
-0.35	0.0036	0.057	IPO7
-0.17	0.0036	0.057	ABI1
0.94	0.0036	0.057	EMID1
-0.25	0.0036	0.057	KLHL12
-0.84	0.0036	0.057	HNF4G
0.21	0.0036	0.057	R3HDM1
-0.42	0.0036	0.057	UBALD1
0.39	0.0036	0.057	FANCA
-0.23	0.0036	0.057	ELL
0.77	0.0036	0.057	TMEM35
0.52	0.0036	0.057	NAALADL1
1.18	0.0037	0.058	LOC510860
0.46	0.0037	0.058	LRFN4
-0.27	0.0037	0.058	SCAPER
0.27	0.0037	0.058	PCYOX1L
-0.42	0.0037	0.058	SIDT2
-1.42	0.0037	0.058	GPR37L1
-0.5	0.0037	0.058	AIFM2
-0.36	0.0037	0.058	NSA2
-0.35	0.0037	0.058	SYAP1
0.32	0.0038	0.058	NOB1
0.66	0.0038	0.059	C7
1.22	0.0038	0.059	CENPF
-1.5	0.0038	0.059	RND1
-0.25	0.0038	0.059	RHBDD1
-0.25	0.0038	0.059	LMBR1
-0.16	0.0038	0.059	PIP5K1A
0.96	0.0038	0.059	POLE
0.91	0.0039	0.059	RAD54L
1.07	0.0039	0.06	SPOCK1
-0.41	0.0039	0.06	ATP6V1E1
0.8	0.0039	0.06	FAM222A
-0.26	0.0039	0.06	12:00 AM
-1.08	0.0039	0.06	ERBB3
-0.41	0.0039	0.06	ECE1
0.18	0.004	0.06	SCARB2
-0.41	0.004	0.06	FLNB
-0.55	0.004	0.06	CLIC2
0.75	0.004	0.06	IGF1
2.17	0.004	0.06	ATP6V0D2
-0.3	0.004	0.06	EHD1
-0.63	0.004	0.061	TPM4
-0.26	0.004	0.061	UBAP2
-0.23	0.004	0.061	C10H14orf119
0.99	0.004	0.061	SPC25
-0.41	0.004	0.061	ACTN1
0.45	0.004	0.061	IKBKE
1.67	0.0041	0.061	DCSTAMP
1.01	0.0041	0.062	CENPW
0.23	0.0041	0.062	C2H2orf47
-0.27	0.0041	0.062	CLN3
-0.29	0.0041	0.062	HDAC4
-1.96	0.0041	0.062	SCNN1B
-0.46	0.0041	0.062	UBXN8
-0.25	0.0042	0.062	PCBP2
-0.37	0.0042	0.062	CCNG1
0.71	0.0042	0.063	ETV1
0.31	0.0042	0.063	ESPN
-0.34	0.0042	0.063	SMAD3
-0.26	0.0042	0.063	TBCC
0.76	0.0042	0.063	MCM10
-0.31	0.0042	0.063	IGF1R
-0.37	0.0043	0.063	CALM1
-0.31	0.0043	0.064	PVRL2
0.76	0.0043	0.064	CPE
-0.3	0.0043	0.064	VAV2
-0.39	0.0043	0.064	RASA2
-0.29	0.0043	0.064	DENND1C
0.39	0.0043	0.064	CMPK1
-0.63	0.0043	0.064	SORBS1
-0.23	0.0044	0.064	ZDHHC7
0.66	0.0044	0.064	MIR1287
0.66	0.0044	0.064	PYROXD2
1.05	0.0044	0.065	KIF2C
-0.38	0.0044	0.065	ANAPC15
0.48	0.0044	0.065	NT5C3B
-0.74	0.0045	0.065	SLC16A11
0.76	0.0045	0.065	STKLD1
1.12	0.0045	0.065	MASTL
-0.36	0.0045	0.066	NFKBIB
-0.27	0.0045	0.066	BTBD1
0.61	0.0045	0.066	PCDH9
0.54	0.0045	0.066	VEGFC
0.46	0.0046	0.067	PANK1
0.68	0.0046	0.067	CHAF1B
-0.87	0.0046	0.067	CCDC64B
-0.37	0.0046	0.067	POP7
0.42	0.0046	0.067	WHSC1
-0.37	0.0047	0.067	VEGFB
-0.19	0.0047	0.067	IRF9
-0.19	0.0047	0.067	RNF31
-0.53	0.0047	0.067	PSAP
-0.3	0.0047	0.067	CHMP6
-0.33	0.0047	0.067	TNFRSF1A
-0.43	0.0047	0.067	CALCOCO1
-1.72	0.0047	0.067	FUT6
-0.23	0.0047	0.067	CHURC1
-0.76	0.0047	0.068	TMEM100
0.32	0.0047	0.068	PLA2G4A
0.28	0.0047	0.068	RPL36
-0.27	0.0047	0.068	ATP1B3
0.68	0.0047	0.068	CDK1
0.46	0.0047	0.068	NOL4L
-0.18	0.0047	0.068	EFCAB14
-0.24	0.0048	0.068	SAMM50
0.84	0.0048	0.068	COL9A2
0.36	0.0048	0.068	RPA3
-0.89	0.0048	0.068	PELI3
0.61	0.0048	0.068	HMMR
-0.37	0.0048	0.068	IRF7
-0.37	0.0048	0.068	CDHR5
1.03	0.0048	0.068	MELK
-0.38	0.0048	0.068	PSEN1
-0.14	0.0049	0.069	OTUD5
-0.14	0.0049	0.069	PIM2
-0.16	0.0049	0.069	GOLGA7
-0.65	0.0049	0.069	EPHX1
-0.3	0.0049	0.069	TBC1D2
-0.28	0.0049	0.069	ARPC5
0.89	0.0049	0.069	MIS18BP1
0.79	0.0049	0.069	GNAO1
-0.19	0.0049	0.069	DOCK1
1.39	0.005	0.069	SCGB2A2
-0.83	0.005	0.07	TIMP2
0.62	0.005	0.07	PLCL1
-0.35	0.005	0.07	ARHGAP1
0.22	0.005	0.07	PHKA1
0.33	0.005	0.07	RPF2
-0.62	0.005	0.07	PTGS1
-0.38	0.005	0.07	TBL1X
0.89	0.0051	0.071	SPON1
-0.44	0.0051	0.071	CD9
-0.23	0.0051	0.071	DYNC1LI2
-0.31	0.0051	0.071	FAM8A1
0.23	0.0051	0.071	LCLAT1
-0.32	0.0052	0.071	UBXN1
-1.56	0.0052	0.071	SCNN1G
0.73	0.0052	0.071	SNORD20
1.53	0.0052	0.071	DNAJB13
-0.37	0.0052	0.071	ZNF331
-0.67	0.0052	0.072	PIEZO1
-0.4	0.0052	0.072	PRKCZ
-1.03	0.0052	0.072	NR2E1
0.37	0.0052	0.072	DMD
-1.92	0.0052	0.072	CALCB
1.56	0.0052	0.072	TDH
0.26	0.0053	0.072	TTC37
-0.33	0.0053	0.072	PTP4A2
0.55	0.0053	0.072	DYSF
-0.24	0.0053	0.072	MTFR1
-0.26	0.0053	0.072	INTS12
-0.26	0.0053	0.073	EIF3F
-0.83	0.0054	0.073	TMEM116
2.29	0.0054	0.073	MPO
-1.09	0.0054	0.074	ALOX12E
0.64	0.0054	0.074	ROGDI
-0.3	0.0054	0.074	RFNG
-0.19	0.0054	0.074	MFF
0.88	0.0055	0.074	PARPBP
-0.56	0.0055	0.074	KDELR3
-0.44	0.0055	0.074	GLRX2
0.8	0.0055	0.074	MCAM
1.76	0.0055	0.074	MFSD2A
-0.32	0.0055	0.074	JOSD1
-0.84	0.0055	0.074	JUNB
0.26	0.0055	0.074	MRPL44
-0.46	0.0055	0.074	FLNA
1.45	0.0055	0.074	LOC100300091
-0.41	0.0055	0.074	PGPEP1
-0.68	0.0055	0.074	NIPAL1
-0.24	0.0055	0.074	TMEM9B
-0.66	0.0055	0.074	SCN9A
-0.63	0.0055	0.074	AQP1
1.63	0.0056	0.075	CHRDL2
1.54	0.0056	0.075	DNAJC22
-0.4	0.0056	0.075	ATP5D
-0.25	0.0056	0.075	HTRA2
0.43	0.0056	0.075	GGCT
-0.27	0.0056	0.075	NEK1
-1.08	0.0056	0.075	SOD2
-0.62	0.0056	0.075	SMTNL2
-0.22	0.0057	0.075	EXOC7
-1.4	0.0057	0.075	AOX2
-0.54	0.0057	0.075	NEU1
-0.56	0.0057	0.075	IRS2
0.75	0.0057	0.075	MAPK15
0.89	0.0057	0.075	NEURL1
-0.58	0.0057	0.075	SLC5A10
-0.43	0.0057	0.076	H2AFJ
-0.39	0.0057	0.076	LOC533308
0.39	0.0058	0.076	DCK
-0.31	0.0058	0.076	CACNB3
0.75	0.0058	0.076	YBX2
-0.88	0.0058	0.076	ADORA2B
0.43	0.0058	0.076	MAD2L1BP
-0.71	0.0058	0.077	IFNGR2
-0.63	0.0059	0.077	NPDC1
-0.29	0.0059	0.077	CTDSP1
0.68	0.0059	0.077	NES
-0.31	0.0059	0.077	CDK8
-0.35	0.006	0.078	SLC35G1
-0.67	0.006	0.078	WNT11
0.88	0.006	0.078	SPDL1
-0.25	0.006	0.078	NAGK
-0.45	0.006	0.078	CCDC53
0.66	0.006	0.078	LY6E
-0.43	0.006	0.078	RNASEK
-0.43	0.006	0.078	C19H17orf49
0.87	0.006	0.078	NUF2
-0.42	0.0061	0.078	ACTB
1.11	0.0061	0.078	CELSR3
0.61	0.0061	0.078	PTGER3
-0.65	0.0061	0.079	PDE3B
-0.23	0.0061	0.079	TOR1AIP2
-0.23	0.0061	0.079	TOR1AIP2
-0.78	0.0061	0.079	GRB7
-0.24	0.0061	0.079	GLTP
0.71	0.0061	0.079	PCOLCE2
0.2	0.0061	0.079	MTA2
0.2	0.0061	0.079	EML3
-0.38	0.0062	0.079	SESN2
0.81	0.0062	0.079	SKA1
-0.32	0.0062	0.079	LOC514011
1.02	0.0062	0.079	LOC101907388
0.75	0.0062	0.079	TBC1D16
-0.29	0.0062	0.079	BTF3
-0.27	0.0062	0.08	FIG4
0.7	0.0062	0.08	CCDC24
-0.26	0.0063	0.08	CHMP4B
0.19	0.0063	0.08	SCO1
-0.23	0.0063	0.08	NCAPH
-0.23	0.0063	0.08	ITPRIPL1
1.5	0.0063	0.08	CRABP1
-0.34	0.0063	0.08	WDR1
0.58	0.0063	0.08	SCNN1D
-0.46	0.0063	0.08	MAP2K1
0.25	0.0063	0.08	HIBCH
0.62	0.0063	0.08	FAM171B
-0.74	0.0063	0.08	SLC46A3
-0.42	0.0063	0.08	RAB13
-1.38	0.0064	0.08	NDRG4
0.71	0.0064	0.08	DNAH1
0.42	0.0064	0.08	MMACHC
-0.25	0.0064	0.08	SPPL2A
-0.41	0.0064	0.08	LSM10
-0.38	0.0064	0.08	EPB41L5
-0.66	0.0064	0.08	CLEC5A
-1.39	0.0064	0.08	ADGRG2
-2.55	0.0064	0.081	MUC20
0.95	0.0064	0.081	ELFN2
0.76	0.0064	0.081	SNORD14
0.36	0.0065	0.081	SEMA6D
-0.53	0.0065	0.081	STBD1
0.64	0.0065	0.081	FGF12
-0.26	0.0065	0.081	PPP2R5B
0.25	0.0065	0.081	IPO11
0.72	0.0065	0.081	FRRS1L
1.04	0.0065	0.081	MIS18A
-0.68	0.0065	0.081	BCL6
0.22	0.0065	0.081	RAD9A
-0.71	0.0066	0.081	PLEKHB1
-0.97	0.0066	0.081	RAB3IP
-0.35	0.0066	0.081	PPP2CB
-0.19	0.0066	0.081	RNF7
-0.35	0.0066	0.081	PSMC3
-0.51	0.0066	0.081	IL1R1
0.36	0.0066	0.081	IGFBP7
-0.32	0.0066	0.081	RPS27
-0.22	0.0066	0.081	CASP6
-0.19	0.0067	0.082	BCL10
-1.02	0.0067	0.082	CLDN4
-0.56	0.0067	0.082	SORT1
-1.36	0.0067	0.082	LOC101902670
0.39	0.0067	0.082	RCCD1
-1.84	0.0067	0.082	ANKRD1
-0.18	0.0067	0.082	TRAPPC3
0.56	0.0067	0.082	ATRNL1
-0.36	0.0067	0.082	SH3RF1
-0.34	0.0067	0.082	LTBR
-0.23	0.0068	0.082	RNF13
1.14	0.0068	0.082	SFRP2
0.7	0.0068	0.082	UCP2
-0.39	0.0068	0.083	EPM2A
-0.2	0.0068	0.083	DDX3X
-0.22	0.0068	0.083	WDYHV1
-0.2	0.0068	0.083	GTF3A
0.44	0.0068	0.083	MIR10B
0.44	0.0068	0.083	HOXD3
0.44	0.0068	0.083	HOXD4
-0.24	0.0068	0.083	MTM1
0.21	0.0068	0.083	MIR2882
0.21	0.0068	0.083	SMARCA4
-0.29	0.0068	0.083	TPGS1
0.39	0.0069	0.083	TMEM132A
-0.22	0.0069	0.083	TSC22D2
-0.36	0.0069	0.083	RPL36AL
1.45	0.007	0.084	CRYM
0.7	0.007	0.084	CETN4
1.19	0.007	0.084	TTK
-0.3	0.007	0.084	RIOK3
-0.43	0.0071	0.084	BTBD6
0.66	0.0071	0.084	SLC22A17
0.66	0.0071	0.084	EFS
-0.29	0.0071	0.084	PIGY
-0.37	0.0071	0.084	ANKRD12
0.23	0.0071	0.084	ZNF500
0.23	0.0071	0.084	ANKS3
0.47	0.0071	0.085	SLC7A2
-1.75	0.0071	0.085	SDSL
-0.26	0.0072	0.085	GTF2A2
0.81	0.0072	0.085	KIF18A
-0.3	0.0072	0.085	TMEM57
0.57	0.0072	0.085	STRIP2
1.18	0.0072	0.085	STAC2
-0.25	0.0072	0.085	VPS11
0.23	0.0072	0.085	SCFD2
-0.44	0.0073	0.085	P2RX4
0.3	0.0073	0.085	ECI2
0.94	0.0073	0.085	ERCC6L
-0.22	0.0073	0.085	OXSR1
-0.17	0.0073	0.086	C7H19orf43
-0.64	0.0073	0.086	TM4SF5
1.39	0.0073	0.086	SCN10A
0.18	0.0074	0.086	EMC1
0.31	0.0074	0.086	ZNF710
-0.42	0.0074	0.086	RALGDS
0.23	0.0074	0.086	CDAN1
1.16	0.0074	0.087	CCNA1
-0.3	0.0075	0.087	ACAA1
-0.59	0.0075	0.087	PPL
-0.52	0.0075	0.087	PCDH1
0.85	0.0075	0.087	PIF1
-0.58	0.0075	0.087	DYRK3
0.24	0.0075	0.087	TFDP1
-0.18	0.0075	0.087	INO80C
-0.5	0.0075	0.087	GPRC5C
-0.45	0.0075	0.087	RCAN1
1.16	0.0075	0.087	SEMA5B
0.23	0.0075	0.087	G6PC3
0.9	0.0076	0.088	FAM72A
-0.5	0.0076	0.088	CSF1
-0.61	0.0076	0.088	TEAD4
-0.54	0.0077	0.089	XK
0.25	0.0077	0.089	CBX8
1.09	0.0077	0.089	FMO3
0.66	0.0078	0.089	MCM4
1.48	0.0078	0.089	TRIM9
0.58	0.0078	0.089	EVC2
0.95	0.0078	0.089	NTRK2
0.4	0.0078	0.089	ATP2A3
-0.39	0.0078	0.089	SH3YL1
0.29	0.0078	0.09	RP2
-0.68	0.0078	0.09	UGDH
-0.26	0.0079	0.09	ESD
0.59	0.0079	0.09	MATN2
-0.2	0.0079	0.09	RNF220
0.36	0.0079	0.09	CRTAP
-0.91	0.0079	0.09	KRT19
0.4	0.008	0.09	RGS9
-0.42	0.008	0.091	KIFC3
0.93	0.008	0.091	CEP55
0.34	0.008	0.091	MTHFD1
-0.56	0.008	0.091	SDC1
-0.15	0.008	0.091	LEMD2
0.17	0.008	0.091	TRAP1
0.82	0.0081	0.091	JPH4
0.45	0.0081	0.091	STK39
0.24	0.0081	0.092	NFIA
-0.31	0.0082	0.092	CMC1
0.7	0.0082	0.092	NCAPG2
0.34	0.0082	0.093	NUMB
0.78	0.0082	0.093	GPR162
-0.35	0.0082	0.093	PHLDB1
0.38	0.0082	0.093	ECE2
-0.26	0.0082	0.093	RNF215
-0.41	0.0083	0.093	RNF217
-0.72	0.0083	0.093	ACSS1
-0.68	0.0083	0.093	LOXL1
-0.45	0.0083	0.093	PRNP
0.94	0.0083	0.093	ZNF891
0.83	0.0084	0.094	RDM1
0.36	0.0084	0.094	ERAP2
-0.21	0.0084	0.094	PCMT1
-0.42	0.0084	0.094	UBE2L6
-0.23	0.0084	0.094	STK3
-0.45	0.0084	0.094	TXN
0.58	0.0084	0.094	EDIL3
-0.31	0.0085	0.094	ZNF438
-0.33	0.0085	0.094	AVEN
1.03	0.0085	0.094	FGFR4
0.21	0.0085	0.094	ILF3
-0.86	0.0085	0.095	SLCO4A1
0.74	0.0085	0.095	HIF3A
-0.23	0.0086	0.095	ATG101
-0.24	0.0086	0.095	FAM129A
0.2	0.0086	0.095	MLLT11
0.2	0.0086	0.095	GABPB2
-0.24	0.0086	0.095	TBC1D22A
0.54	0.0086	0.095	GDF11
-0.23	0.0086	0.095	LY6G5B
-0.23	0.0086	0.095	CSNK2B
0.84	0.0086	0.095	SLC1A3
-0.33	0.0086	0.095	SVBP
0.62	0.0086	0.095	HCRTR1
-0.2	0.0086	0.095	DAZAP2
-0.35	0.0086	0.095	ZFP1
1.11	0.0086	0.095	DNA2
-1.23	0.0086	0.095	SLC6A15
-0.44	0.0086	0.095	TMEM53
0.44	0.0086	0.095	MEIS2
-0.45	0.0087	0.095	HSPB2
0.5	0.0087	0.095	STIL
-0.33	0.0087	0.095	SNX15
0.72	0.0087	0.095	SUSD4
-0.61	0.0087	0.095	DUSP14
-0.15	0.0087	0.095	GTF2E2
0.52	0.0087	0.095	MAP2K6
-0.93	0.0088	0.095	NEBL
-0.25	0.0088	0.095	LOC574091
-0.25	0.0088	0.095	ATXN1
-0.85	0.0088	0.096	SPTBN2
-0.24	0.0088	0.096	APPL2
-0.28	0.0088	0.096	GNAT2
0.32	0.0089	0.096	CSAD
0.56	0.0089	0.096	NPHP4
0.2	0.0089	0.096	ARID1A
-0.13	0.0089	0.096	TAF5L
-1.04	0.0089	0.096	GPRC5A
2.05	0.0089	0.096	CNGA1
-0.34	0.0089	0.096	ZNF281
0.2	0.0089	0.096	RWDD4
0.76	0.0089	0.096	CITED4
-0.48	0.0089	0.096	ARHGEF5
0.53	0.0089	0.096	C19H17orf96
0.21	0.009	0.097	TARBP2
1	0.009	0.097	FREM1
-0.19	0.009	0.097	RBM45
1.01	0.009	0.097	E2F8
-0.24	0.009	0.097	BCAP29
1.11	0.009	0.097	ATP8B3
0.82	0.0091	0.097	AVIL
-0.57	0.0091	0.097	MYH11
-0.68	0.0091	0.097	NA
0.2	0.0091	0.097	RAB21
0.2	0.0091	0.097	GNL3L
-0.28	0.0091	0.097	FBXW5
0.24	0.0091	0.098	TMEM106C
-0.17	0.0092	0.098	CUL1
1.09	0.0092	0.098	CENPK
0.92	0.0092	0.098	CCNB2
0.39	0.0092	0.098	FAM49A
0.41	0.0092	0.098	CCND2
0.39	0.0092	0.098	GALNT10
0.95	0.0092	0.098	SLC38A11
-0.33	0.0092	0.098	ARHGDIA
0.26	0.0093	0.098	NOLC1
0.23	0.0093	0.098	TCOF1
-0.23	0.0093	0.098	METTL6
0.56	0.0093	0.098	METTL24
0.51	0.0093	0.098	SLC26A1
-0.32	0.0093	0.098	TMEM9
0.65	0.0093	0.098	ZNF618
-0.37	0.0093	0.098	CRIM1
-0.36	0.0093	0.098	OTUD1
0.54	0.0094	0.099	SNORA11
0.54	0.0094	0.099	MAGED4B
0.76	0.0094	0.099	NA
0.28	0.0094	0.099	SPATA5
0.58	0.0094	0.099	AEBP1
0.58	0.0094	0.099	NA
-1.2	0.0094	0.099	BVES
1.23	0.0094	0.099	ITGBL1
-0.22	0.0094	0.099	STX4
0.17	0.0095	0.099	MCC
0.79	0.0095	0.099	ZNF446
-0.37	0.0095	0.099	NELFE
-0.36	0.0095	0.099	TOLLIP
-0.53	0.0095	0.099	SYNPO
0.44	0.0095	0.099	DDX11
-0.38	0.0095	0.099	TMBIM4
0.52	0.0095	0.099	SERPINI1
-0.32	0.0095	0.099	EIF3E
-0.23	0.0095	0.099	BSDC1
-0.19	0.0096	0.1	TRAPPC2L
0.93	0.0096	0.1	KCNAB3
-0.22	0.0096	0.1	PAK2
0.53	0.0096	0.1	SLC4A5
0.26	0.0097	0.1	TFCP2
1.09	0.0097	0.1	DIAPH3
-1.05	0.0097	0.1	SFN
-0.21	0.0097	0.1	DFFA
0.54	0.0097	0.1	CCDC114
-0.41	0.0097	0.1	CCDC92
0.49	0.0097	0.1	EFR3B
-0.27	0.0097	0.1	PSMC1
0.38	0.0097	0.1	NA
0.21	0.0098	0.1	MAGED2
-0.47	0.0098	0.1	RASL11A
